Polling St No.,Ali Bukhari,Khurrum,Mustafa,Azhar,Polling Station Name,Polling Station Won
132,110,388,370,52,Peija,Khurrum Nawaz
133,102,321,330,30,Peija,Mustafa Nawaz
134,249,11,-,472,Dhaliala,Azhar Mehmood
135,423,151,-,76,Gangota Syedan,Ali Bukhari
136,415,95,-,51,Gangota Syedan,Ali Bukhari
137,301,162,41,96,Herdogher,Ali Bukhari
138,284,112,67,91,Herdogher,Ali Bukhari
139,127,205,103,94,Pagh paghwal,Khurrum Nawaz
140,396,129,120,80,Koral,Ali Bukhari
141,309,84,64,36,Koral,Ali Bukhari
142,364,113,172,106,Koral,Ali Bukhari
143,244,91,103,36,Koral,Ali Bukhari
144,297,86,-,79,Koral,Ali Bukhari
145,232,61,52,42,Koral,Ali Bukhari
146,497,87,216,63,Koral,Ali Bukhari
147,407,64,150,28,Koral,Ali Bukhari
148,277,102,243,22,Ghouri Town Phase-2,Ali Bukhari
149,188,50,133,14,Ghouri Town Phase-3,Ali Bukhari
150,216,26,101,3,Ghouri Town Phase-3,Ali Bukhari
151,74,361,151,163,Boora Bangial,Khurrum Nawaz
152,32,315,114,93,Boora Bangial,Khurrum Nawaz
153,155,234,34,86,Mohra Salima,Khurrum Nawaz
154,107,204,19,78,Boaker,Khurrum Nawaz
155,212,215,40,28,Lohi Bher,Khurrum Nawaz
156,136,185,32,4,Lohi Bher,Khurrum Nawaz
157,274,64,12,19,Lohi Bher,Ali Bukhari
158,221,46,132,6,Lohi Bher,Ali Bukhari
159,453,142,25,28,Korang Town,Ali Bukhari
160,520,122,11,16,Korang Town,Ali Bukhari
161,392,40,10,3,PWD,Ali Bukhari
162,414,95,16,11,PWD,Ali Bukhari
163,387,64,3,6,PWD,Ali Bukhari
164,400,85,18,1,Police Foundation,Ali Bukhari
165,596,101,18,8,Sector 0-9,Ali Bukhari
166,574,57,13,4,Sector 0-9,Ali Bukhari
167,538,75,27,5,Sector 0-9,Ali Bukhari
168,351,80,15,5,CBR town,Ali Bukhari
169,289,44,8,2,CBR town,Ali Bukhari
170,575,123,13,15,CBR town,Ali Bukhari
171,630,173,12,18,Sawan Garden,Ali Bukhari
172,642,125,6,60,Sawan Garden,Ali Bukhari
173,477,113,-,31,Korang Town,Ali Bukhari
174,435,90,14,12,Korang Town,Ali Bukhari
175,294,66,13,5,Korang Town,Ali Bukhari
176,298,63,6,-,Korang Town,Ali Bukhari
177,323,55,12,7,PWD,Ali Bukhari
178,298,34,2,6,PWD,Ali Bukhari
179,497,113,11,18,PWD,Ali Bukhari
180,444,80,11,3,PWD,Ali Bukhari
181,441,8,16,9,Sowan Garden,Ali Bukhari
182,387,80,7,4,Sowan Garden,Ali Bukhari
183,295,88,12,6,Sowan Garden,Ali Bukhari
184,299,90,6,-,Sowan Garden,Ali Bukhari
185,105,147,11,,Nara Syedan,Khurrum Nawaz
186,278,87,186,53,Nara Syedan,Ali Bukhari
187,106,25,277,43,Hoon Dhamial,Mustafa Nawaz
188,123,158,97,62,Hoon Dhamial,Khurrum Nawaz
189,155,153,107,72,PTC Sihala,Ali Bukhari
190,123,158,97,62,PTC Sihala,Khurrum Nawaz
191,,,,,Herdo gher,
192,193,225,74,66,Herdo gher,Khurrum Nawaz
193,264,269,105,219,Herdo gher,Khurrum Nawaz
194,205,87,54,85,Herdo gher,Ali Bukhari
195,197,72,36,52,Herdo gher,Ali Bukhari
196,157,101,147,167,Sihala Khurd,Azhar Mehmood
197,140,91,140,114,Sihala Khurd,Ali/Mustafa
198,202,130,305,157,Sihala Mirzian,Mustafa Nawaz
199,176,128,202,124,Sihala Mirzian,Mustafa Nawaz
200,146,143,270,48,Sihala,Mustafa Nawaz
201,135,145,339,19,Sihala,Mustafa Nawaz
202,317,56,298,50,Chak Rawat,Ali Bukhari
203,285,58,284,27,Chak Rawat,Ali Bukhari
204,176,77,17,88,Jinnah Garden,Ali Bukhari
205,387,128,49,28,Jinnah Garden,Ali Bukhari
206,379,80,11,12,Jinnah Garden,Ali Bukhari
207,723,106,23,6,Jinnah Garden,Ali Bukhari
208,98,236,10,204,Gagri,Khurrum Nawaz
209,381,131,22,30,humak,Ali Bukhari
210,334,81,15,11,humak,Ali Bukhari
211,255,88,14,25,humak,Ali Bukhari
212,217,53,9,14,Humak,Ali Bukhari
213,422,97,23,26,Humak,Ali Bukhari
214,244,96,19,34,Ara Burji,Ali Bukhari
215,221,75,-,19,Ara Burji,Ali Bukhari
216,307,185,73,64,Humak,Ali Bukhari
217,244,113,48,,Humak,Ali Bukhari
218,237,119,173,101,Humak,Ali Bukhari
219,189,98,140,68,Humak,Ali Bukhari
220,760,35,26,2,DHA,Ali Bukhari
221,822,29,7,3,DHA,Ali Bukhari
222,510,23,-,4,DHA,Ali Bukhari
223,507,16,8,3,DHA,Ali Bukhari
224,255,192,172,189,Rajwal,Ali Bukhari
225,252,186,135,121,Rajwal,Ali Bukhari
226,327,193,16,85,Gohra Shahan,Ali Bukhari
227,234,164,7,50,Gohra Shahan,Ali Bukhari
228,269,117,40,23,Dhok Awan,Ali Bukhari
229,450,29,170,41,Mohra Kohlu,Ali Bukhari
230,136,323,159,189,Niazian,Khurrum Nawaz
231,342,39,26,2,Bahria Town,Ali Bukhari
232,382,24,15,2,Bahria Town,Ali Bukhari
233,467,47,44,11,Bahria Town,Ali Bukhari
234,496,41,19,4,Bahria Town,Ali Bukhari
235,686,58,37,5,Bahria Town,Ali Bukhari
236,676,34,17,3,Bahria Town,Ali Bukhari
237,569,65,60,7,Bahria Town,Ali Bukhari
238,586,141,123,87,Mohra Nagial,Ali Bukhari
239,410,107,104,81,Mohra Nagial,Ali Bukhari
240,389,42,26,13,Bahria Town,Ali Bukhari
241,409,25,12,3,Bahria Town,Ali Bukhari
242,421,42,25,10,DHA,Ali Bukhari
243,441,22,11,-,DHA,Ali Bukhari
244,616,36,24,2,DHA,Ali Bukhari
245,619,29,16,2,DHA,Ali Bukhari
246,603,31,16,4,DHA,Ali Bukhari
247,713,41,38,7,DHA,Ali Bukhari
248,700,36,26,2,DHA,Ali Bukhari
249,254,25,145,152,Rawat,Ali Bukhari
250,213,30,134,100,Rawat,Ali Bukhari
251,,,,,Rawat,
252,118,115,172,112,Rawat,Mustafa Nawaz
253,222,33,113,105,Rawat,Ali Bukhari
254,307,61,227,288,BanniSaran,Ali Bukhari
255,258,60,169,241,BanniSaran,Ali Bukhari
256,160,23,173,162,Rawat,Mustafa Nawaz
257,140,20,150,148,Rawat,Mustafa Nawaz
258,159,47,180,283,Rawat,Azhar Mehmood
259,156,44,140,242,Rawat,Azhar Mehmood
260,,,,,Bangrial Khurd,
261,197,8,250,397,Bangrial Khurd,Azhar Mehmood
