Ps.no,Na-47,Pti,Pmln,Ppp,Ji,Mnk,Tlp
269,"Islambad Model  School (I-V) G-6/1-4, Near Madina Masjid, Islamabad. (Male)",416,201,65,37,16,17
270,"Islambad Model  School (I-V) G-6/1-4, Near Madina Masjid, Islamabad. (Female)",324,119,33,18,8,0
271,"Islamabad Model School, Masjid Oullah (I-V) G-6/1-2, Islamabad. (Male)",363,148,63,27,22,9
272,"Islamabad Model School, Masjid Oullah (I-V) G-6/1-2, Islamabad. (Female)",324,83,24,14,8,6
273,"Islamabad Model School, Masjid Oullah (I-V) G-6/1-2, Islamabad. (Male)",446,134,160,42,54,14
274,"Islamabad Model School, Masjid Oullah (I-V) G-6/1-2, Islamabad. (Female)",388,111,92,26,32,5
275,"Islamabad Model School (I-V), G-6/1-3, Ghosia Masjid, Islamabad. (Male)",416,198,56,23,12,10
276,"Islamabad Model School (I-V), G-6/1-3, Ghosia Masjid, Islamabad. (Female)",345,162,37,20,13,6
277,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2 (Male)",499,194,44,41,15,18
278,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2 (Female)",388,110,27,28,9,4
279,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2, Islamabad. (Comb",265,109,23,18,6,9
280,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2, Islamabad. (Male",222,67,79,63,31,12
281,"Shaifq ur Rehman Shaheed Model College for Boys (VI-XII), G-7/2, Islamabad. (Fema",153,42,46,49,23,1
282,"Islamabad Model School (I-V),NO.2, G-7/2 Islamabad (Male)",118,48,205,18,23,2
283,"Islamabad Model School (I-V),NO.2, G-7/2 Islamabad (Female)",65,32,131,18,21,2
284,"Islamabad Model School for Girls (VI-X), G-7/2 (Male)",209,88,103,29,11,6
285,"Islamabad Model School for Girls (VI-X), G-7/2 (Female)",160,59,70,24,3,2
286,"Islamabad Model School No.1 (I-V) G-7/2, Islamabad. (Combined)",171,68,8,27,7,4
287,"Islamabad Model School No.1 (I-V) G-7/2, Islamabad. (Male)",397,157,62,31,20,21
288,"Islamabad Model School No.1 (I-V) G-7/2, Islamabad. (Female)",290,101,31,23,7,10
289,"Islamabad Model School for Girls (I-VIII) G-7/3-2 , Islamabad. (Combined)",256,91,46,17,20,7
290,"Islamabad Model School for Girls (I-VIII) G-7/3-2 , Islamabad. (Male)",195,125,104,15,17,8
291,"Islamabad Model School for Girls (I-VIII) G-7/3-2 , Islamabad. (Female)",137,55,109,11,13,4
292,"Islamabad Model  School (I-V), G-7/3-3, Near Golden Market, Islamabad. (Male)",476,145,50,33,29,40
293,"Islamabad Model  School (I-V), G-7/3-3, Near Golden Market, Islamabad.. (Female)",345,94,35,16,10,12
294,Islamabad Model School (I-V) G-7/3-1 Ghulshan Market (Combined),241,80,32,19,6,5
295,"Islamabad Model  School (I-V), G-7/3-3, Near Golden Market, Islamabad. (Male)",343,161,43,16,8,84
296,"Islamabad Model  School (I-V), G-7/3-3, Near Golden Market, Islamabad. (Female)",316,95,23,1,4,13
297,"Khushnood Zeb Shaheed Model School For Boys (VI-X), G-7/3-1 (Male)",415,163,71,39,35,29
298,"Khushnood Zeb Shaheed Model School For Boys (VI-X), G-7/3-1 (Female)",315,119,35,19,21,12
299,"Khushnood Zeb Shaheed Model School For Boys (VI-X), G-7/3-1 (Male)",301,166,49,33,47,26
300,"Khushnood Zeb Shaheed Model School For Boys (VI-X), G-7/3-1 (Female)",211,96,24,20,25,12
301,"Islamabad Model School for Girls No-5 (I-VIII) G-7/3-4,Islamabad. (Male)",378,160,77,33,13,40
302,"Islamabad Model School for Girls No-5 (I-VIII) G-7/3-4,Islamabad. (Female)",257,89,41,14,5,19
303,Tanveer Hussain Shaheed Model College For Boys (VI-XII) G-7/4 (Male),404,172,68,19,39,43
304,Tanveer Hussain Shaheed Model College For Boys (VI-XII) G-7/4 (Female),323,125,42,16,11,18
305,Islamabad Model School (I-V) G-7/4 (Male),375,138,27,50,10,28
306,Islamabad Model School (I-V) G-7/4 (Female),267,88,16,29,4,9
307,Tanveer Hussain Shaheed Model College for Boys (VI-XII) G-7/4 (Combined),240,64,14,23,4,11
308,"Islamabad Model School for Girls (VI-X), G-7/2 (Male)",209,109,55,10,12,8
309,"Islamabad Model School for Girls (VI-X), G-7/2 (Female)",153,68,42,8,5,6
310,Tanveer Hussain Shaheed Model College for Boys (VI-XII) G-7/4 (Male),330,116,27,23,23,15
311,Tanveer Hussain Shaheed Model College for Boys (VI-XII) G-7/4 (Female),205,59,12,8,7,6
312,"Islamabad Model School For Girls  (VI-X) G-7/ 1, Islamabad (Male)",330,124,46,29,31,14
313,"Islamabad Model School For Girls  (VI-X) G-7/ 1, Islamabad (Female)",265,93,26,19,11,5
314,"Islamabad Model School (I-V) G-7/1, Islamabad (Male)",449,139,37,20,14,22
315,"Islamabad Model School (I-V) G-7/1, Islamabad (Female)",343,85,12,23,10,10
316,"Women Welfare Centre, G-7/1, Islamabad. (Male)",186,79,170,13,163,3
317,"Women Welfare Centre, G-7/1, Islamabad. (Female)",113,53,121,4,112,0
318,"Islamabad Model School (I-V) No.1, G-8/2, Islamabad. (Male)",401,125,25,48,20,5
319,"Islamabad Model School (I-V) No.1, G-8/2, Islamabad. (Female)",331,68,13,32,4,1
320,"Islamabad Model School (I-V) No.1, G-8/2, Islamabad. (Male)",450,176,17,71,10,10
321,"Islamabad Model School (I-V) No.1 G-8/2, Islamabad. (Female)",430,129,12,50,6,5
322,"College of Medical Technology (CMT) PIMS, G-8/3, Islamabad. (Male)",273,136,16,47,12,9
323,"College of Medical Technology (CMT) PIMS, G-8/3, Islamabad. (Female)",204,83,11,16,5,2
324,"Islamabad Model School (I-V) No-1, G-8/4, Islamabad. (Male)",403,159,24,49,19,17
325,"Islamabad Model School (I-V) No-1, G-8/4, Islamabad. (Female)",310,93,15,21,9,9
326,"Islamabad Model College for Girls (VI-XII) G-8/4, Islamabad (Male)",241,134,73,20,45,16
327,"Islamabad Model College for Girls (VI-XII) G-8/4, Islamabad (Female)",145,73,74,13,21,5
328,"Islamabad Model School (I-V) No.2, G-8/4, Islamabad. (Combined)",270,156,52,21,40,18
329,"Usman Sadiq Shaheed Model School for Boys, G-8/4 (VI-X), Islamabad. (Male)",266,169,13,38,10,11
330,"Usman Sadiq Shaheed Model School for Boys, G-8/4 (VI-X), Islamabad. (Female)",190,103,12,27,9,3
331,"Shamowail Tariq Shaheed Model School for Boys (VI-X), G-8/1. (Male)",157,132,200,94,69,5
332,"Shamowail Tariq Shaheed Model School for Boys (VI-X), G-8/1. (Female)",102,87,160,63,39,2
333,"Pakistan Institute of Education G-8/1, Islamabad.  (Male)",219,80,35,22,13,3
334,"Pakistan Institute of Education G-8/1, Islamabad. (Female)",174,55,33,14,9,2
335,"Islamabad Model School No-3 (I-V), G-8/1, Islamabad. (Male)",243,117,59,56,15,4
336,"Islamabad Model School No-3 (I-V), G-8/1, Islamabad. (Female)",206,85,41,46,5,4
337,Islamabad Model School  (I-V) No.2 G-8/1 (Male),288,97,17,28,23,35
338,Islamabad Model School  (I-V) No.2 G-8/1 (Female),180,64,12,20,10,16
339,"Islamabad Model School (I-V) No.1, G-8/1. (Male)",294,188,59,45,48,4
340,"Islamabad Model School (I-V) No.1, G-8/1. (Female)",286,123,40,30,23,2
341,"Islamabad Model School, (I-V), AIOU, Colony H-8 (Combined)",353,82,11,83,3,8
342,"Islamabad Model College For boys H-9, Islamabad. (Combined)",170,128,78,49,2,4
343,"lslamabad Model College for Girls I-8/2 , Islamabad (Male)",454,147,10,57,12,3
344,"lslamabad Model College for Girls I-8/2 , Islamabad (Female)",504,92,7,53,4,1
345,"Global System of Integrated Studies, (GSIS) House No. 09, Sahib Zada Abdul Qayoom",339,83,9,40,3,2
346,"Global System of Integrated Studies, (GSIS) House No. 424-A, St No-36 (Primary Sec",336,49,6,34,4,0
347,"Beaconhouse School System, Plot No. 22-B, Sahibzada Abdul Qayyum, Road, Kinder",174,71,7,16,6,1
348,"Beaconhouse School System, Plot No. 22-B, Sahibzada Abdul Qayyum, Road, Kinder",211,54,9,16,1,1
349,"Islamabad Model College for Boys I-8/3, Islamabad. (Male)",400,152,7,50,9,4
350,"Islamabad Model College for Boys I-8/3 , Islamabad. (Female)",379,96,4,45,2,4
351,"Islamabad Model College for Boys I-8/3 , Islamabad (Male)",270,78,6,39,4,2
352,"Islamabad Model College for Boys I-8/3 , Islamabad (Female)",266,52,4,39,0,0
353,"International Islamic University Islamabad (IIUI) House No. FA-68, Street No. 94, Sec",281,90,12,39,2,4
354,"International Islamic University Islamabad (IIUI) House No. FA-68, Street No. 94, Sec",228,43,5,38,3,4
355,"Islamabad Model College for Girls, Street No-1, Sector I-8/4, Islamabad. (Male)",337,129,12,22,13,1
356,"Islamabad Model College for Girls, Street No-1, Sector I-8/4, Islamabad. (Female)",382,72,9,17,6,0
357,"Islamabad Model College for Girls, Street No-1, Sector I-8/4, Islamabad. (Male)",276,128,16,31,8,8
358,"Islamabad Model College for Girls, Street No-1, Sector I-8/4, Islamabad. (Female)",302,72,8,57,4,2
359,"Islamabad Model School  for Girls (VI-X) I-8/1, Islamabad  (Male)",208,84,5,22,7,2
360,"Islamabad Model School  for Girls (VI-X) I-8/1 , Islamabad  (Female)",203,38,1,32,5,1
361,"Islamabad Model School for boys (I-X) I-8/1 , Islamabad (Male)",369,115,25,71,6,10
362,"Islamabad Model School for boys (I-X) I-8/1, Islamabad  (Female)",301,98,10,51,1,1
363,"Islamabad Model School (I-V) I-8/1 , Islamabad (Male)",287,96,18,76,0,10
364,"Islamabad Model College for Girls (VI-XII) Sector I-9/1, (Junior Branch) Islamabad. (C",285,147,27,19,5,17
365,"Usama Bin Tariq Shaheed Model School for Boys (VI-X), I-9/4, No.1 (Male)",418,150,25,57,0,8
366,"Usama Bin Tariq Shaheed Model School for Boys (VI-X), I-9/4, No.1 (Female)",298,103,20,26,1,4
367,"Maher Ali Azam Shaheed Model School for Boys (VI-X), No.2, I-9/4, Islamabad. (Mal",262,132,29,41,9,19
368,"Maher Ali Azam Shaheed Model School for Boys (VI-X), No.2, I-9/4, Islamabad. (Fem",403,161,20,58,1,7
369,Islamabad Model School For Girls (VI-X)  I-9/4 (Male),403,161,20,58,1,7
370,Islamabad Model School For Girls (VI-X)  I-9/4 (Female),385,103,12,50,2,1
371,"Islamabad Model College for Girls (VI-XII) Sector I-9/1, Islamabad. (Male)",169,81,5,24,5,8
372,"Islamabad Model College for Girls, (VI-XII), Sector I-9/1, Islamabad.  (Female)",168,63,5,11,4,3
373,"Islamabad Model College For Girls (VI-XII) I-9/1, Islamabad. (Male)",422,181,23,56,4,8
374,"Islamabad Model College For Girls (VI-XII) I-9/1, Islamabad. (Female)",403,105,9,37,5,4
375,"Islamabad Model School (I-V), No-2, I-9/1, Islamabad. (Male)",255,198,99,23,27,4
376,"Islamabad Model School (I-V), No-2, I-9/1, Islamabad. (Female)",214,125,66,14,18,2
