Ps.no,Na-47,Pti,Pmln,Ppp,Ji,Mnk,Tlp
60,"Shafqat Shaheed Model School for Boys (I-V) Dhoke Jerani, Islamabad. (Female)",294,241,74,26,18,30
61,"Islamabad Model School for Girls (I-V) Dhoke Jerani, Islamabad. (Combined)",338,310,193,46,13,57
62,"The Educators, Near Imran Khan Chowk, Banni Gala, Islamabad. (Male)",480,134,44,50,142,19
63,"The Educators, Near Imran Khan Chowk, Banni Gala, Islamabad. (Female)",422,91,17,7,114,8
64,"Islamabad Model School for Girls (I-VIII) Mandla, Islamabad.  (Male)",98,179,84,3,130,31
65,"Islamabad Model School for Girls (I-VIII) Mandla, Islamabad.  (Female)",87,147,79,2,102,18
66,"Tahir Shaheed Model School for Boys (I-X) Shahdara, Islamabad. (Male)",220,340,78,2,149,10
67,"Tahir Shaheed Model School for Boys (I-X) Shahdara, Islamabad. (Female)",202,268,57,3,132,4
68,"Islamabad Model School for Boys (I-V) New Mangial, Islamabad. (Male)",229,183,34,12,20,47
69,"Islamabad Model School for Boys (I-V) New Mangial, Islamabad. (Female)",158,148,22,4,5,10
70,"Islamabad Model School for Girls (I-V) Shahpur, Islamabad. (Male)",442,140,23,21,24,7
71,"Islamabad Model School for Girls (I-V) Shahpur, Islamabad. (Female)",338,91,13,24,18,5
72,"Punjab Commerce College (PCC) Satrameel, Main Murree Road, Phulgran, Islamaba",180,132,65,22,15,42
73,"Punjab Commerce College (PCC) Satrameel, Main Murree Road, Phulgran, Islamaba",136,116,43,15,5,21
74,"Islamabad Model School, (I-X) Chattar, Islamabad. (Male)",301,126,66,71,53,16
75,"Islamabad Model School, (I-X) Chattar, Islamabad. (Female)",244,123,58,70,51,10
76,"Islamabad Model School, (I-V) Kalran, Phulgran, Islamabad. (Combined)",293,220,81,25,79,29
77,"Islamabad Model School for Girls (I-X) Phulgran, Islamabad. (Combined)",326,186,94,10,122,44
78,"Ghazali Premier School (Jinnah Campus) Seri Chowk Mora Road, Phulgran, Islamaba",218,121,60,8,202,44
79,"Ghazali Premier School (Jinnah Campus) Seri Chowk Mora Road, Phulgran, Islamaba",161,109,26,4,170,12
80,"Pinnacles School System Spring Valley, Phulgran, Islamabad. (Combined)",431,148,11,15,106,11
81,"Shahzad Ejaz Model School for Boys (I-X) Phulgran, Islamabad. (Male)",243,102,47,7,351,48
82,"Shahzad Ejaz Model School for Boys (I-X) Phulgran, Islamabad. (Female)",217,108,27,2,261,30
83,"The Arqam School (Muhammah Campus) Mohallah Abbasiabad, Simly Dam Road, Is",416,174,12,24,91,20
84,"The Arqam School (Muhammah Campus) Mohallah Abbasiabad, Simly Dam Road, Is",275,90,8,11,64,9
85,"Islamabad Model School for Boys (IVIII)Satrameel, Islamabad.(Combined)",421,166,213,28,12,15
86,"Islamabad Model School for Boys (I-V) Athal, Islamabad. (Male)",398,277,32,21,113,248
87,"Islamabad Model School for Boys (I-V) Athal, Islamabad. (Female)",298,182,28,18,88,193
88,"Islamabad Model School for Girls, (I-VIII) Bobri, Islamabad. (Male)",97,137,87,54,143,3
89,"Islamabad Model School for Girls, (I-VIII) Bobri, Islamabad. (Female)",84,141,62,27,103,5
90,"Islamabad Model College for Girls, (VI-XII) Maira Begwal, Islamabad. (Male)",408,152,31,3,279,27
91,"Islamabad Model College for Girls, (VI-XII) Maira Begwal, Islamabad. (Female)",377,149,30,4,227,14
92,"Islamabad Model College for Girls, (VI-XII) Maira Begwal, Islamabad. (Combined)",180,32,23,2,97,26
93,"Islamabad Model School for Girls (I-V) Pind Begwal Dana, Islamabad. (Combined)",291,100,16,65,86,54
94,"Islamabad Model School for Girls (I-V) Pind Begwal Dana, Islamabad. (Male)",236,63,50,41,167,46
95,"Islamabad Model School for Girls (I-V) Pind Begwal Dana, Islamabad. (Female)",217,73,29,47,126,25
96,"Zeeshan Shaheed Model College for Boys, Pind Begwal, Islamabad. (Combined)",255,156,43,12,192,200
97,"Zeeshan Shaheed Model College for Boys, Pind Begwal, Islamabad. (Male)",416,130,75,22,73,103
98,"Zeeshan Shaheed Model College for Boys, Pind Begwal, Islamabad. (Female)",376,115,50,15,53,84
99,"Islamabad Model School for Boys (I-VIII) Jandala, Islamabad. (Combined)",215,282,4,15,18,85
100,"Islamabad Model School for Boys (I-V) Sihali, Islamabad. (Combined)",353,290,15,6,19,156
101,"Islamabad Model School for Boys (I-VIII) Pehont, Islamabad. (Combined)",66,85,8,4,23,25
102,"Islamabad Model School for Boys (I-X) Tumair, Islamabad. (Male)",237,239,12,58,124,58
103,"Islamabad Model School for Boys (I-X) Tumair, Islamabad. (Female)",191,168,11,34,98,22
104,"Islamabad Model School for Boys (I-V) Mohra Tumair, Islamabad. (Male)",324,355,22,20,121,144
105,"Islamabad Model School for Boys (I-V) Mohra Tumair, Islamabad. (Female)",251,250,17,8,88,84
106,"Islamabad Model School for Boys (I-VIII) Pehont, Islamabad. (Combined)",363,305,26,41,52,15
107,"Islamabad Model School for Boys (I-VIII) Pehont, Islamabad. (Male)",200,187,56,11,22,22
108,"Islamabad Model School for Boys (I-VIII) Pehont, Islamabad. (Female)",165,145,46,6,20,9
109,"Islamabad Model School for Boys (I-V) Mohra Solina, Islamabad. (Combined)",223,290,41,31,126,5
110,"Islamabad Model College for Girls, NHC, Islamabad. (Combined)",200,55,14,12,386,39
111,"Islamabad Model School for Girls (I-X) Kuri, Islamabad. (Male)",276,74,17,11,254,44
112,"Islamabad Model School for Girls (I-X) Kuri, Islamabad. (Female)",185,35,7,6,210,29
113,"Islamabad Model School for Girls (I-X) Kuri, Islamabad. (Male)",270,25,9,10,303,29
114,"Sohail Sardar Shaheed Model School for Boys (I-V) Kuri, Islamabad. (Female)",194,31,8,11,294,20
115,"Islamabad Model School for Girls (I-X) Malot, Islamabad. (Male)",381,72,156,12,186,85
116,"Islamabad Model School for Girls (I-V) Malot, Islamabad. (Female)",336,60,135,8,164,44
117,"Islamabad Model School for Boys (I-V) Mall, Islamabad. (Combined)",411,97,73,20,40,12
118,"Islamabad Model College for Girls, Jagiot, Islamabad. (Male)",272,130,10,7,100,115
119,"Islamabad Model College for Girls, Jagiot, Islamabad. (Female)",234,133,9,5,58,71
120,"Hassan Zaib Shaheed Model School for Boys (I-X) Jagiot, Islamabad. (Male)",331,131,6,12,88,290
